Number,FieldState,MotifSum,Entropy,HilbertMag,CompositeScore,EnhancedCompositeScore,RhythmicCompositeScore,UnionPrediction,InferredFieldState,UMAP_X,UMAP_Y,PrimeStatus,PrimeType,Type,BoundaryTransitionIndex,TransitionFlag
467749,High,30,0.6,24.0,0.6143307657673471,0.7750803169200284,0.8169225696488847,1,Unknown,3.2246478,7.6452518,True Prime,General,,-1.5828975427123486,False
226609,Low,20,0.2,12.0,0.5797625759411,0.7751086488441639,0.8179016791487115,1,Unknown,3.9229307,5.554905,True Prime,General,,-1.580682947428769,False
424909,Mid,10,0.2,6.0,0.5975675484629196,0.7752309923288898,0.8159167436163195,1,Unknown,4.8656406,5.512905,True Prime,General,,-1.5711198375264657,False
495277,Low,20,0.2,12.0,0.5799973447729593,0.7752561646867944,0.8180196918228159,1,Unknown,2.4049644,6.58658,True Prime,General,,-1.569152213131259,False
436231,Low,36,0.2222222222222222,22.0,0.5953331404553962,0.775276951979703,0.8198708475087131,1,Low,2.6621962,0.24553654,True Prime,General,,-1.5675273520517972,False
264007,High,30,0.6,24.0,0.608391306001134,0.7753165405108063,0.8184819574815141,1,Low,6.700466,6.4192877,True Prime,General,,-1.5644328719929717,False
451657,Low,26,0.5384615384615384,20.0,0.5741436920197145,0.7753173669638647,0.8132315421599159,1,Unknown,6.9660273,1.1815412,True Prime,General,,-1.56436827140191,False
416873,High,30,0.4666666666666667,22.0,0.6246811315571431,0.775326287179364,0.8132386783323163,1,Unknown,7.438495,5.3995466,True Prime,General,,-1.5636710131755016,False
256313,Mid,30,0.6,24.0,0.608485022212482,0.7753754266319991,0.8181151013789798,1,Low,1.3822216,5.7804923,True Prime,General,,-1.5598299750757545,False
440207,Mid,18,0.5555555555555556,14.0,0.5652806791904756,0.7753954670229206,0.8199656595432868,1,Unknown,2.0969608,0.56839454,True Prime,General,,-1.558263496392424,False
208279,High,6,0.3333333333333333,4.0,0.5663060574875219,0.7754292578300924,0.8203214746115586,1,Unknown,1.5207192,3.3795364,True Prime,General,,-1.5556222016524925,False
245471,Mid,36,0.8888888888888888,34.0,0.6686143471368253,0.7755352925518805,0.8193554673378034,1,Unknown,-0.083458744,1.1763114,True Prime,General,,-1.5473338837237474,False
305633,Mid,18,0.3333333333333333,12.0,0.5754798721767033,0.7755464485934914,0.8200864447997438,1,Unknown,6.4698753,4.22912,True Prime,General,,-1.5464618597476512,False
447901,Low,14,0.1428571428571428,8.0,0.6107186809076801,0.7755579338834035,0.8186750721795913,1,Low,3.3733518,1.8923959,True Prime,General,,-1.5455640997244222,False
491059,Mid,40,0.1,22.0,0.6310844782298771,0.7756104823772489,0.8173467020146635,1,Unknown,7.3820424,3.2459488,True Prime,General,,-1.5414565902565525,False
366313,Low,22,0.4545454545454545,16.0,0.5530302033974838,0.7756344486527338,0.817865449209503,1,Unknown,-0.8997363,2.1929817,True Prime,General,,-1.53958324058923,False
215723,Low,44,0.3636363636363636,30.000000000000004,0.6391585535698078,0.7756471579314848,0.8199699158820153,1,Unknown,0.7566896,2.8482552,True Prime,General,,-1.5385898061636312,False
448013,Mid,24,0.1666666666666666,14.0,0.5427313152755017,0.7756497618621176,0.8204320924995799,1,Unknown,4.7740135,0.95484793,True Prime,General,,-1.5383862671286255,False
362743,Low,8,0.5,6.0,0.5616928738908931,0.7756594021997086,0.8204398047696531,1,Unknown,7.128527,7.7767777,True Prime,General,,-1.5376327197853858,False
